,Rk,Age,Pos,GP,G,A,P,PIM,+/-,TOI,PP,ESG,PPG,SHG,GWG,OTG,ESA,PPA,SHA,GWA,OTA,ESP,PPP,SHP,GWP,OTP,G/60,A/60,P/60,ESG/60,ESA/60,ESP/60,PPG/60,PPA/60,PPP/60,G/GP,A/GP,P/GP,SHOTS,HITS,BS,FOW,FOL,Unnamed: 0,start_year,team_id,id,primary_number,current_age,height,weight
SHG,-0.28933839568649317,-0.005439447198184748,-0.2198187148072155,0.23850151413247958,0.3228665521961019,0.2073190365373944,0.2730779216033461,0.08675548102007057,0.11524166495617937,0.1092767190102688,0.14527452166522786,0.275635735031412,0.17956759366793681,1.0,0.23608021088521852,0.09265408635175547,0.20143611422715754,0.13842352126955912,0.24322074939886706,0.17868301868559905,0.16469104802874834,0.24988041850785656,0.1673524686924098,0.7940879149106295,0.23260340785123543,0.16503011076116705,0.2769574102527668,0.09071923309093562,0.19953146536143856,0.24022019425920615,0.103634169679492,0.1950520753168981,0.14069882916353005,0.035628788025587714,0.0818222453155226,0.2942008514201874,0.1455806483251367,0.23196893727319373,0.267536263657582,0.10621491315725172,-0.0234972640908588,0.1450064095838771,0.16639029429702062,0.03495463329039176,,0.02372573807909744,0.009577441473258997,-0.022217296355067872,-0.0030677035898519747,-0.018078572059039576,-0.046472429672991575
GWG,-0.6646982676169115,-0.08867947662909403,-0.3450775228500215,0.41864128039912174,0.839864673937155,0.6437326957954892,0.7756979311340716,0.20985468521058456,0.3532744769547933,0.3147233332942366,0.5984466483653625,0.8176208086074844,0.714256382500126,0.23608021088521852,1.0,0.6181039342229737,0.6178797479787412,0.5572903050902602,0.0900114633868645,0.5510440859746776,0.4166681547153759,0.7609828419009446,0.6767340414342472,0.20450995678688727,0.8354054218905972,0.613714306625725,0.7375699719521333,0.39569540642974393,0.6410130394288823,0.6971128720080416,0.3268793681691196,0.5852857861060611,0.36148577623711403,0.10511342857704789,0.22287032307837829,0.7966031904139507,0.550081213917214,0.727366111779965,0.6948309012981652,0.048128417433507154,-0.06920986605575126,0.32444617961249494,0.34150697373119737,-0.020255506949329993,,-0.04033825379175225,0.03384095154574813,0.09186722132509098,-0.10017271455051317,-0.10452257260557761,-0.04281278320421944
OTG,-0.45784169651615403,-0.13139673699400323,-0.11658267911215937,0.26728236505647973,0.5603777029697332,0.5091272070500004,0.5673780699403898,0.10537156558927979,0.20239083400912944,0.3302232672559206,0.47917719289801597,0.5569948616503881,0.4644830166009915,0.09265408635175547,0.6181039342229737,1.0,0.46417553088049934,0.4883282838634105,0.05371465909237366,0.41580026313409185,0.34138976887039457,0.5447333336056136,0.5270666547494639,0.09075818237381061,0.5659874933975625,0.7592642077856265,0.42868721511711794,0.29658476200004447,0.41990441669306844,0.420772622101546,0.22623650021689803,0.37446601723669626,0.1825315158781915,0.09769607481123498,0.15412273938568824,0.5267035251091781,0.45793035691154416,0.5409203377474262,0.4988477594892451,0.007922475926033403,0.041283958932937945,0.2383084584990684,0.2506610033943082,0.01945638635598869,,-0.008288609317463048,0.08068488808033702,0.03343354454821969,-0.13745835938838832,-0.07995262426198146,-0.07185709332027754
ESA,-0.880158739621751,0.03935936958336349,-0.11736100189544653,0.6734749658971101,0.7212365155024398,0.957666622565236,0.9210774027895599,0.28210605044611664,0.41352329981807984,0.6219280362874522,0.6532048527369743,0.7061646003540976,0.6028191738583747,0.20143611422715754,0.6178797479787412,0.46417553088049934,1.0,0.7084375167121654,0.23850980392102664,0.819056786278393,0.5948973138620791,0.9426484864233334,0.7374978804126278,0.2787126697116767,0.8320201334402055,0.6546978241450175,0.5041641010290157,0.5480631293132117,0.635458627188784,0.4705904158626023,0.4994482748595351,0.5993112576112206,0.24600766683412698,0.10144602310252752,0.1795511600366416,0.6234429032678263,0.8106793297060774,0.8144553810901866,0.8215441118471303,0.10770177529070787,0.26884794341938156,0.3160082763263523,0.32124309476121593,0.026727470547114517,,0.015044256015188445,-0.10808543830773348,0.06628839172438397,0.03360054555341429,-0.08001805218716423,-0.004037612549395703
PPA,-0.6798062051229092,0.030144091494151096,-0.08482649020478324,0.3841758402410293,0.6210869673900943,0.879193705710149,0.8273192277603304,0.10629709708058614,0.22467573420152984,0.5439708288163093,0.8003714947526432,0.5634196449164051,0.6219926974014895,0.13842352126955912,0.5572903050902602,0.4883282838634105,0.7084375167121654,1.0,0.14684869925603858,0.7836584849814932,0.561199275690421,0.6975758438852083,0.9477873839607702,0.1808420318881415,0.7802206418038138,0.6439067682068327,0.44401607836479906,0.5570229664833738,0.6124968214855809,0.3863297150608518,0.34565449997454645,0.44484673249741036,0.23469040915506395,0.2638465994009054,0.3269846910546903,0.5737569530513638,0.8214364842203523,0.7975925085389102,0.6796797211624279,-0.07688937251564537,0.11861479684969647,0.25570681677453955,0.25550278986328057,-0.004677048728336859,,-0.025997510293647812,-0.09093312466375042,0.09715941325342885,0.02068220419371918,-0.12834640019428525,-0.06348079944395167
SHA,-0.2555468291312059,0.043335404206643835,3.662740844028001e-05,0.267050244539845,0.13395789807663866,0.262593889548799,0.22414211973626677,0.04661184119858158,0.18364923073512965,0.23368458339428363,0.08861841057025088,0.13038075709231736,0.07304898228424012,0.24322074939886706,0.0900114633868645,0.05371465909237366,0.23850980392102664,0.14684869925603858,1.0,0.2479978945983923,0.11818663944511323,0.206895100903633,0.13173241650393502,0.7826898358313762,0.20654311003615097,0.10999842567904627,0.04434161652260184,0.09233040745359583,0.0872122509641263,0.05597308961744005,0.06427297384175716,0.07483256235992251,0.0019794878770721864,0.025618783064395,0.024558612379396445,0.08439591102473185,0.18702231558546592,0.15948145779799042,0.2095556116617481,0.10315893246855386,0.2067179949266734,0.21024704642405026,0.20762807278329587,-0.06828348586155282,,-0.04777695552504394,-0.049177942594552514,-0.07833806457159266,0.04661736769184331,0.04333373381877685,0.05054454951401787
GWA,-0.717081610684876,0.03300459607195147,-0.09005035807459173,0.4819703982051421,0.6305614354763216,0.869180471842482,0.8252672043137114,0.22234721922426373,0.44065491549970504,0.5532697693316145,0.6537524518158959,0.5988198241059389,0.5663926414206151,0.17868301868559905,0.5510440859746776,0.41580026313409185,0.819056786278393,0.7836584849814932,0.2479978945983923,1.0,0.6612141409671403,0.781714160746417,0.7749009133579821,0.2700578651291038,0.9207715382631037,0.6754947683512269,0.436644499853477,0.5196607401695473,0.5823418106745184,0.4013672311072299,0.4104447917241867,0.49977259208109065,0.2016997285671457,0.15545255459206983,0.2145694013252167,0.5597156982823454,0.7725564078063079,0.7597052699721005,0.7192725740284466,0.044988519555414455,0.18846131994590556,0.29885105751594887,0.29628305239021846,0.001251484194128968,,-0.012481914754131873,-0.09044458507912409,0.05200411986501518,0.02904979928332199,-0.0774364739047413,-0.013998566811566847
OTA,-0.5050828805292933,-0.0019334047144424905,-0.08159683798878445,0.30831556267696175,0.4658267832783803,0.6252345647487789,0.5990976764944279,0.1253101763670008,0.19723665234639742,0.42708850647335106,0.5051167252069181,0.4451203529436934,0.40608588874834844,0.16469104802874834,0.4166681547153759,0.34138976887039457,0.5948973138620791,0.561199275690421,0.11818663944511323,0.6612141409671403,1.0,0.5725762781656477,0.555121855386001,0.17973719339353064,0.6332811316646165,0.8717657478735124,0.32586827635877924,0.37218753796634346,0.4234777140305981,0.308659177139841,0.30512281355121246,0.37662907021242154,0.14276167259799347,0.11268016282645475,0.15434272596623275,0.4192769579660199,0.5602601142127807,0.5573429541927533,0.5292785012813184,-0.011372743222192769,0.11802445200243576,0.23469029211172557,0.2437489568295543,0.04959165250103451,,0.025715513997838464,-0.043033251704809754,0.08762187480317053,-0.006408390616366099,-0.049545372700353786,-0.004282883928815149
ESP,-0.9215850919716703,-0.006668271411454555,-0.28815525699023636,0.6700441995384019,0.8968151674187448,0.9139799982623407,0.9719153702007874,0.2914945308197289,0.392085721037902,0.528907536432194,0.703139221299867,0.9020021859936742,0.6983008395191187,0.24988041850785656,0.7609828419009446,0.5447333336056136,0.9426484864233334,0.6975758438852083,0.206895100903633,0.781714160746417,0.5725762781656477,1.0,0.7688417571113039,0.28998806362060575,0.8741537459667491,0.6812008182624963,0.723002345429157,0.5315163368332967,0.7304490380651243,0.7046564640076329,0.4743512509270389,0.6970429466479496,0.313834217638906,0.09747380238038694,0.1992865952137007,0.8148830395761004,0.764617393507226,0.8763009366306891,0.8921198995783403,0.1184825070111236,0.11957358095480898,0.3778373754459476,0.3882615922433345,0.012612831783542005,,-0.0008379913134763165,-0.0669868029804719,0.08795112769667182,-0.01556460156161169,-0.10893571303521102,-0.03078024274347091
PPP,-0.736611039160078,0.020177402213132675,-0.18604082815336642,0.4115301382955554,0.7770444738344671,0.8765281582597847,0.8951120200588315,0.12640961489574534,0.23921325582764896,0.52036850207216,0.8532469463050426,0.6770051989887823,0.839225169020808,0.1673524686924098,0.6767340414342472,0.5270666547494639,0.7374978804126278,0.9477873839607702,0.13173241650393502,0.7749009133579821,0.555121855386001,0.7688417571113039,1.0,0.18993302725129277,0.8302506481122206,0.6598820392757535,0.6050980808957023,0.5573283089329188,0.6912838590380882,0.5009312004379479,0.3730373360148957,0.5217617274340911,0.37988356997592104,0.22553545296502645,0.34145600569280593,0.7297638170689633,0.8084610264304286,0.8636624763445758,0.7616694588123,-0.06389054526059669,0.04623798046244253,0.3356133573433962,0.3351589387625864,-0.012893667516526963,,-0.03462386507070231,-0.0900032105282699,0.10956136784084632,0.010260094582831511,-0.11459168680117716,-0.0369971703258286
SHP,-0.34231820731382134,0.027103955312591486,-0.13855793838645303,0.3179401686454306,0.2877641818845729,0.29294844169793627,0.3116592294322635,0.0789274061557332,0.18902661317425093,0.20414778998698385,0.1436069221347318,0.25464241730582055,0.1579882677401676,0.7940879149106295,0.20450995678688727,0.09075818237381061,0.2787126697116767,0.1808420318881415,0.7826898358313762,0.2700578651291038,0.17973719339353064,0.28998806362060575,0.18993302725129277,1.0,0.27469853091033025,0.1720119487169087,0.2055036388933247,0.11606886072504781,0.18268446520583081,0.1892185755458862,0.10677478948628875,0.17205276893481664,0.09152415170441301,0.0389155505847282,0.0678926906807301,0.23785919538545888,0.20460923717078944,0.24386921277741902,0.3029846124756554,0.13195801145084862,0.11236881953990074,0.2247927996500612,0.23687333172604352,-0.01721861589775983,,-0.01102551194637953,-0.0280140994079439,-0.06402017464776136,0.030838712362795527,0.02181981478973814,0.003717333255179982
GWP,-0.786091688128195,-0.027830163153774352,-0.2548434917267466,0.5176310856367451,0.8138829306914316,0.8772014197061506,0.9102424063846887,0.2566730762787294,0.4573778098664439,0.5017954845324635,0.7166210990468177,0.7832499933571903,0.7110905749107371,0.23260340785123543,0.8354054218905972,0.5659874933975625,0.8320201334402055,0.7802206418038138,0.20654311003615097,0.9207715382631037,0.6332811316646165,0.8741537459667491,0.8302506481122206,0.27469853091033025,1.0,0.7351360919288331,0.6343693122108243,0.5296029933721207,0.6858525947133396,0.5920615860236643,0.4250041773983895,0.6050438184773521,0.30274887623655056,0.15222984223876046,0.24648346068083932,0.7483802027314235,0.7709347542332281,0.8451072079239524,0.8018196324190757,0.05414910329638358,0.09582326367659912,0.3498612513777353,0.35613383895871836,-0.01483422778246447,,-0.03416841261164856,-0.034327259615273595,0.07803697925877381,-0.0359902634863924,-0.1128376840185651,-0.03452245085369636
OTP,-0.5873544529261855,-0.07404007988929663,-0.1342215496633,0.3554574687398375,0.6176739899233187,0.6996422439169799,0.712023540796212,0.14876854971655296,0.24234060689249087,0.4489034817395231,0.6022154949330734,0.6017782927994453,0.5259818789736186,0.16503011076116705,0.613714306625725,0.7592642077856265,0.6546978241450175,0.6439067682068327,0.10999842567904627,0.6754947683512269,0.8717657478735124,0.6812008182624963,0.6598820392757535,0.1720119487169087,0.7351360919288331,1.0,0.4495421214674273,0.4128225584861893,0.512687616548523,0.4334767103327519,0.3296234972370085,0.45649885112153066,0.1941933219376501,0.12910270315206196,0.1874207607174251,0.5683985383128745,0.628078043863532,0.6689768059670154,0.6272426324868692,-0.0024840843411020274,0.10554519302273169,0.28704833712736,0.2997720392011541,0.04048462316400248,,0.008969747868990364,0.01737612007297863,0.07841753606199799,-0.08035734439727647,-0.08330394900800031,-0.043455292566202536
G/60,-0.6789502218649207,-0.06702801092842428,-0.6107669948844944,0.31908655033665917,0.8940668319496041,0.5145258560518333,0.7204893373952754,0.13348328344851643,0.23246008259000459,0.10247812377307645,0.6126604285216024,0.8815698533509678,0.7286131675162393,0.2769574102527668,0.7375699719521333,0.42868721511711794,0.5041641010290157,0.44401607836479906,0.04434161652260184,0.436644499853477,0.32586827635877924,0.723002345429157,0.6050980808957023,0.2055036388933247,0.6343693122108243,0.4495421214674273,1.0,0.37050086847100144,0.7511150764820573,0.9653798732123234,0.3142574005434315,0.7091033736191942,0.4772981406599888,0.05593573979453083,0.21706362032959142,0.9627330799431647,0.45876236284623867,0.7516093548741667,0.6579103149761218,-0.00805097906710957,-0.31754370868288173,0.34281476944197764,0.3600625900222655,-0.02161513420371485,,-0.03701284267617044,0.009640730098729988,0.11764871607150257,-0.07739038384500413,-0.13133469476612078,-0.07361526368819324
A/60,-0.44795073776673566,-0.0013626472230237616,-0.2018017666492889,0.08383535767796733,0.4461161963429301,0.5914586361018376,0.5691628410861241,-0.01962458121911064,0.27326676262758265,0.18627078793538396,0.5134634237215328,0.41859863830646554,0.418624859362021,0.09071923309093562,0.39569540642974393,0.29658476200004447,0.5480631293132117,0.5570229664833738,0.09233040745359583,0.5196607401695473,0.37218753796634346,0.5315163368332967,0.5573283089329188,0.11606886072504781,0.5296029933721207,0.4128225584861893,0.37050086847100144,1.0,0.891476915043406,0.3408166768492057,0.9437068011432393,0.8602934954805334,0.16181946393917856,0.15218220606426092,0.19774164932114233,0.4394992901721674,0.8448226556958593,0.7485833811620801,0.3924849178615354,-0.19977370937660824,-0.14605460789464358,0.18432378830696192,0.1890623356116899,0.03162987195838724,,0.014972120222212993,-0.029404550162708327,0.10728723035082167,-0.009420313492214644,-0.1590066653773789,-0.14334953564401745
P/60,-0.6495655572735084,-0.03366253698609225,-0.44134853184047873,0.21522652422338678,0.7531930872904172,0.671358131748686,0.7559785600020387,0.051177506217013044,0.30758389879365167,0.18238768457890217,0.663806479341105,0.7275454360413145,0.6529421956726768,0.19953146536143856,0.6410130394288823,0.41990441669306844,0.635458627188784,0.6124968214855809,0.0872122509641263,0.5823418106745184,0.4234777140305981,0.7304490380651243,0.6912838590380882,0.18268446520583081,0.6858525947133396,0.512687616548523,0.7511150764820573,0.891476915043406,1.0,0.7131293783437833,0.8240252671727881,0.9573384541762189,0.3478259502859979,0.13545512965879603,0.24642967749193423,0.7819845156785235,0.8242412943098271,0.8986851392360261,0.599884180526746,-0.14592782528760806,-0.25870097764406214,0.29819620340788144,0.30997965698769586,0.011935944967240654,,-0.007408526788366205,-0.01621420297493877,0.13347556110806585,-0.044445532603459126,-0.1770801167703401,-0.13780239989593326
ESG/60,-0.6460558440765551,-0.07815119362720517,-0.6183015209584576,0.309674704295213,0.8423008988082143,0.4695402371819298,0.6692559775106572,0.14372982231335332,0.2431526029936633,0.061126460100829526,0.5339118273492566,0.8860788859376374,0.5712105901080293,0.24022019425920615,0.6971128720080416,0.420772622101546,0.4705904158626023,0.3863297150608518,0.05597308961744005,0.4013672311072299,0.308659177139841,0.7046564640076329,0.5009312004379479,0.1892185755458862,0.5920615860236643,0.4334767103327519,0.9653798732123234,0.3408166768492057,0.7131293783437833,1.0,0.29916121897889536,0.7152180205775752,0.33124677852687934,0.044546096201982605,0.15597789508910195,0.9127952441517665,0.41428367790303644,0.6994433840950438,0.6118914281455512,0.01510575172496065,-0.3165910406407213,0.3291954222765221,0.3477341368864517,-0.014986609525642944,,-0.02715952384618205,0.02726598641897652,0.10794419818492078,-0.08834017269037299,-0.14441595333355176,-0.09220708428432287
ESA/60,-0.37578016517710106,0.0042736546768022445,-0.19802666673257927,0.07354327995969029,0.37432444501988227,0.47248534630080646,0.46266723251614206,0.0016361623073972193,0.27812030820224215,0.0931613051088314,0.34172623751582276,0.3602169765828162,0.32654268988877466,0.103634169679492,0.3268793681691196,0.22623650021689803,0.4994482748595351,0.34565449997454645,0.06427297384175716,0.4104447917241867,0.30512281355121246,0.4743512509270389,0.3730373360148957,0.10677478948628875,0.4250041773983895,0.3296234972370085,0.3142574005434315,0.9437068011432393,0.8240252671727881,0.29916121897889536,1.0,0.8808587686510343,0.13259528264767162,0.00047227290179432545,0.046263328182601586,0.36129859803906583,0.7172600220024984,0.6299350434113614,0.3140820605969873,-0.14814759295775912,-0.1425219004001796,0.17542981705896216,0.18029437888040825,0.046122298157672534,,0.03675052111878162,-0.022099822283580945,0.09003337048602787,0.00015119847274212326,-0.11268555801522132,-0.10462823101085401
ESP/60,-0.5957510888625142,-0.03560055611844451,-0.45175110090386894,0.20751992433483235,0.6920535788422852,0.579035974267857,0.6709205789972019,0.07250606082105049,0.3243634007280573,0.09858270961296331,0.5151638482161021,0.7034368063169996,0.5225756037818386,0.1950520753168981,0.5852857861060611,0.37446601723669626,0.5993112576112206,0.44484673249741036,0.07483256235992251,0.49977259208109065,0.37662907021242154,0.6970429466479496,0.5217617274340911,0.17205276893481664,0.6050438184773521,0.45649885112153066,0.7091033736191942,0.8602934954805334,0.9573384541762189,0.7152180205775752,0.8808587686510343,1.0,0.26142463870463695,0.022439876256704207,0.1112521254416209,0.7174768381966642,0.7308943055054401,0.8083997294267499,0.5336295893708283,-0.10099561697788746,-0.2614228308553932,0.29179837347891807,0.30456267161234457,0.026338095712673055,,0.013423916798731127,-0.0027039432172947277,0.1195998873028059,-0.043672329598898094,-0.15417303385629264,-0.12232069407883282
