Rk,Name,Team,Age,Pos,GP,G,A,P,PIM,+/-,TOI,ES,PP,SH,ESG,PPG,SHG,GWG,OTG,ESA,PPA,SHA,GWA,OTA,ESP,PPP,SHP,GWP,OTP,PPP%,G/60,A/60,P/60,ESG/60,ESA/60,ESP/60,PPG/60,PPA/60,PPP/60,G/GP,A/GP,P/GP,SHOTS,SH%,HITS,BS,FOW,FOL,FO%,Unnamed: 0,start_year,team_id,team_name,id,primary_number,birth_date,current_age,birth_city,birth_state_province,birth_country,nationality,height,weight,active,alternate_captain,captain,rookie,shoots_catches,roster_status,position_name,position_type,position_abbreviation
576,Quinton Byfield,LAK,19,F,40,5,5,10,20,-7.0,12:09,11:31,0:33,0:03,5,0,0,1,0,4.0,1.0,0.0,2.0,0.0,9.0,1.0,0.0,3,0,10.0%,0.617,0.617,1.234,0.65,0.52,1.171,0.0,2.679,2.679,0.125,0.125,0.25,39.0,12.8%,20.0,11.0,124.0,148.0,45.59%,,,,,,,,,,,,,,,,,,,,,,,
581,Cam York,PHI,20,D,30,3,7,10,6,-14.0,19:04,16:14,2:17,0:32,2,1,0,0,0,4.0,3.0,0.0,1.0,0.0,6.0,4.0,0.0,1,0,40.0%,0.314,0.734,1.048,0.246,0.492,0.739,0.872,2.617,3.489,0.1,0.233,0.333,33.0,9.1%,20.0,40.0,0.0,0.0,0.00%,,,,,,,,,,,,,,,,,,,,,,,
584,Kale Clague,MTL,23,D,36,2,8,10,20,-10.0,16:44,14:41,1:41,0:21,2,0,0,0,0,5.0,3.0,0.0,3.0,1.0,7.0,3.0,0.0,3,1,30.0%,0.199,0.797,0.996,0.227,0.567,0.794,0.0,2.961,2.961,0.056,0.222,0.278,26.0,7.7%,14.0,23.0,0.0,0.0,0.00%,,,,,,,,,,,,,,,,,,,,,,,
588,Mattias Samuelsson,BUF,21,D,42,0,10,10,16,-10.0,19:59,17:38,0:02,2:17,0,0,0,0,0,10.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0,0,0.0%,0.0,0.714,0.714,0.0,0.809,0.809,0.0,0.0,0.0,0.0,0.238,0.238,44.0,0.0%,100.0,60.0,0.0,0.0,0.00%,,,,,,,,,,,,,,,,,,,,,,,
589,Scott Reedy,SJS,22,F,35,7,2,9,10,-8.0,11:11,9:37,1:33,0:00,4,3,0,2,0,2.0,0.0,0.0,0.0,0.0,6.0,3.0,0.0,2,0,33.3%,1.073,0.307,1.379,0.713,0.356,1.069,3.312,0.0,3.312,0.2,0.057,0.257,33.0,21.2%,14.0,26.0,53.0,79.0,40.15%,,,,,,,,,,,,,,,,,,,,,,,
590,Noah Cates,PHI,22,F,16,5,4,9,4,4.0,13:14,12:02,0:02,1:09,4,1,0,1,0,4.0,0.0,0.0,0.0,0.0,8.0,1.0,0.0,1,0,11.1%,1.416,1.132,2.548,1.245,1.245,2.49,81.818,0.0,81.818,0.313,0.25,0.563,23.0,21.7%,21.0,6.0,0.0,7.0,0.00%,,,,,,,,,,,,,,,,,,,,,,,
594,Matthew Beniers,SEA,19,F,10,3,6,9,0,-1.0,16:56,13:57,2:56,0:02,1,2,0,0,0,4.0,2.0,0.0,0.0,0.0,5.0,4.0,0.0,0,0,44.4%,1.063,2.125,3.188,0.43,1.72,2.15,4.075,4.075,8.149,0.3,0.6,0.9,18.0,16.7%,7.0,4.0,39.0,53.0,42.39%,,,,,,,,,,,,,,,,,,,,,,,
595,Alexei Protas,WSH,20,F,33,3,6,9,0,4.0,11:50,10:50,0:59,0:00,3,0,0,0,0,5.0,1.0,0.0,2.0,0.0,8.0,1.0,0.0,2,0,11.1%,0.461,0.922,1.383,0.503,0.839,1.342,0.0,1.847,1.847,0.091,0.182,0.273,34.0,8.8%,20.0,12.0,56.0,69.0,44.80%,,,,,,,,,,,,,,,,,,,,,,,
596,Lucas Carlsson,FLA,24,D,40,3,6,9,10,3.0,12:42,12:30,0:04,0:07,3,0,0,0,0,6.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,0,0,0.0%,0.354,0.708,1.062,0.36,0.72,1.079,0.0,0.0,0.0,0.075,0.15,0.225,41.0,7.3%,39.0,29.0,0.0,0.0,0.00%,,,,,,,,,,,,,,,,,,,,,,,
601,Kyle Capobianco,ARI,24,D,45,2,7,9,38,-12.0,16:00,15:17,0:34,0:08,1,1,0,1,1,6.0,1.0,0.0,1.0,1.0,7.0,2.0,0.0,2,2,22.2%,0.167,0.583,0.75,0.087,0.523,0.61,2.341,2.341,4.681,0.044,0.156,0.2,40.0,5.0%,43.0,46.0,0.0,0.0,0.00%,,,,,,,,,,,,,,,,,,,,,,,
